FUCA1 ENSG00000179163
RNF126 ENSG00000070423
CYB5A ENSG00000166347
CAMKK2 ENSG00000110931
CUEDC1 ENSG00000180891
DNASE2 ENSG00000105612
SLC43A1 ENSG00000149150
FOLH1 ENSG00000086205
HMG20B ENSG00000064961
TMUB1 ENSG00000164897
MCCC2 ENSG00000131844
GUK1 ENSG00000143774
RGS12 ENSG00000159788
GUSB ENSG00000169919
BLCAP ENSG00000166619
SLC9A3R2 ENSG00000065054
NOL6 ENSG00000165271
BRD4 ENSG00000141867
ARID5A ENSG00000196843
C1orf43 ENSG00000143612
KBTBD2 ENSG00000170852
AC090498.1 ENSG00000279483
PDLIM7 ENSG00000196923
FN1 ENSG00000115414
STEAP2 ENSG00000157214
SLC44A2 ENSG00000129353
MAPK8IP3 ENSG00000138834
ICA1 ENSG00000003147
TM4SF1 ENSG00000169908
NUDCD3 ENSG00000015676
MANBAL ENSG00000101363
HLA-DMB ENSG00000242574
ANXA6 ENSG00000197043
KIAA2013 ENSG00000116685
SCARB1 ENSG00000073060
DCTN1 ENSG00000204843
PCED1A ENSG00000132635
R3HDM4 ENSG00000198858
AGTRAP ENSG00000177674
MT1G ENSG00000125144
SLC39A1 ENSG00000143570
PHLDA3 ENSG00000174307
MFGE8 ENSG00000140545
SLC35C2 ENSG00000080189
AP2A2 ENSG00000183020
TEX264 ENSG00000164081
PRELID1 ENSG00000169230
EXOSC10 ENSG00000171824
LCP1 ENSG00000136167
ISLR ENSG00000129009
TMEM129 ENSG00000168936
PIGR ENSG00000162896
CCT7 ENSG00000135624
CS ENSG00000062485
ERI3 ENSG00000117419
SPARC ENSG00000113140
KDM6B ENSG00000132510
B4GALT1 ENSG00000086062
PACS1 ENSG00000175115
EFNA1 ENSG00000169242
TUBGCP6 ENSG00000128159
GNMT ENSG00000124713
NFKBIA ENSG00000100906
NAP1L1 ENSG00000187109
CD46 ENSG00000117335
SNX17 ENSG00000115234
MMP2 ENSG00000087245
RPUSD3 ENSG00000156990
TRIP10 ENSG00000125733
AKT2 ENSG00000105221
TTLL12 ENSG00000100304
ARGLU1 ENSG00000134884
TAGLN2 ENSG00000158710
MLEC ENSG00000110917
RAN ENSG00000132341
TMEM59 ENSG00000116209
ATP6V0E2 ENSG00000171130
BAG1 ENSG00000107262
APMAP ENSG00000101474
VKORC1 ENSG00000167397
ANAPC11 ENSG00000141552
AP1M2 ENSG00000129354
SIRT2 ENSG00000068903
TRMT2A ENSG00000099899
DDRGK1 ENSG00000198171
PNPLA7 ENSG00000130653
TMEM8A ENSG00000129925
CD59 ENSG00000085063
FBRSL1 ENSG00000112787
PITPNA ENSG00000174238
STAU1 ENSG00000124214
CCDC53 ENSG00000120860
ACTN4 ENSG00000130402
LEPROTL1 ENSG00000104660
GNG4 ENSG00000168243
