,0
0,1345
1,1660
2,2021
3,3098
4,1812
5,2532
6,2844
7,1696
8,2177
9,3695
10,1319
11,1753
12,2208
13,2515
14,3694
15,3829
16,3396
17,3255
18,3212
19,2143
20,1875
21,1598
22,2300
23,2883
24,2702
25,2507
26,1937
27,3036
28,2795
29,3904
30,3180
31,2767
32,2488
33,2148
34,2280
35,3198
36,1491
37,1492
38,1650
39,1872
40,2573
41,1309
42,1352
43,1736
44,3743
45,2021
46,2193
47,1809
48,2355
49,2043
50,2602
51,1783
52,1168
53,1934
54,1915
55,1627
56,1748
57,1222
58,1602
59,3753
60,3688
61,1829
62,2319
63,2666
64,3618
65,2612
66,2796
67,2223
68,1988
69,2298
70,1984
71,2421
72,1914
73,2453
74,1559
75,2375
76,2181
77,1173
78,1517
79,2314
80,3840
81,2388
82,2338
83,3130
84,2033
85,2777
86,2417
87,2401
88,2040
89,1527
90,1577
91,3021
92,2532
93,2416
94,1816
95,2029
96,2895
97,3300
98,1694
99,2679
100,2900
101,1800
102,2926
103,2472
104,2097
105,1567
106,2586
107,1918
108,2458
109,1326
110,2423
111,2066
112,2023
113,2267
114,2345
115,3320
116,2629
117,1570
118,2111
119,2585
120,2063
121,3337
122,1827
123,1668
124,3472
125,2364
126,2378
127,4552
128,3697
129,3143
130,2880
131,2424
132,1791
133,1798
134,2241
135,1452
136,1837
137,2354
138,2324
139,2200
140,2898
141,2305
142,1883
143,2223
144,2350
145,1640
146,1923
147,2198
148,1742
149,2559
150,2015
151,2030
152,2172
153,1767
154,1832
155,1717
156,1563
157,1270
158,3387
159,3218
160,4188
161,2787
162,2399
163,3113
164,1749
165,2046
166,2862
167,3913
168,2825
169,2247
170,1652
171,2417
172,1983
173,3266
174,3207
175,2682
176,1330
177,2316
178,2115
179,1771
180,1561
181,1784
182,1284
183,1131
184,1877
185,1506
186,1529
187,2293
188,3616
189,2753
190,1673
191,2231
192,2609
193,1614
194,3491
195,3287
196,2502
197,2280
198,1834
199,2560
200,2909
201,2320
